id,short_url_code,original_url,creation_date
2,e59499,https://www.theodinproject.com/paths/foundations/courses/foundations,2024-04-27T20:29:46.90212Z
3,a1fc68,https://github.com/anteugen,2024-04-27T20:38:15.387818Z
4,f9b3ec,https://www.youtube.com,2024-04-27T20:47:51.923971Z
